ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,City,County,State,Weather_Timestamp,Weather_Condition
A-1,2,2016-02-08 05:46:00,2016-02-08 11:00:00,39.865147,-84.058723,0.01,Right lane blocked due to accident.,Dayton,Montgomery,OH,2016-02-08 05:56:00,Overcast
A-2,3,2016-02-08 06:15:00,2016-02-08 09:20:00,40.014986,-82.9981,0.5,Multi-vehicle collision near exit ramp.,Columbus,Franklin,OH,2016-02-08 06:30:00,Rain
A-3,1,2016-02-08 07:30:00,2016-02-08 07:45:00,41.499321,-81.694359,0.2,Minor fender bender at intersection.,Cleveland,Cuyahoga,OH,2016-02-08 07:30:00,Clear
A-4,2,2016-02-08 08:00:00,2016-02-08 10:30:00,39.103119,-84.512016,1.2,Vehicle spun out on icy road.,Cincinnati,Hamilton,OH,2016-02-08 08:10:00,Snow
A-5,4,2016-02-08 08:45:00,2016-02-08 12:00:00,41.081444,-81.519005,3.0,Severe crash involving truck and SUV.,Akron,Summit,OH,2016-02-08 09:00:00,Fog
A-6,1,2016-02-08 09:15:00,2016-02-08 09:30:00,39.758949,-84.191605,0.05,Car hit guardrail near bridge.,Dayton,Montgomery,OH,2016-02-08 09:15:00,Clear
A-7,2,2016-02-08 10:00:00,2016-02-08 11:00:00,40.417287,-82.90712,0.3,Rear-end collision at traffic light.,Marion,Marion,OH,2016-02-08 10:10:00,Cloudy
A-8,3,2016-02-08 11:30:00,2016-02-08 14:00:00,39.529633,-84.395996,2.5,Rollover accident on highway.,Middletown,Butler,OH,2016-02-08 11:45:00,Rain
A-9,1,2016-02-08 12:00:00,2016-02-08 12:20:00,41.66394,-83.555212,0.15,Parking lot mishap.,Toledo,Lucas,OH,2016-02-08 12:00:00,Clear
A-10,2,2016-02-08 13:00:00,2016-02-08 14:10:00,39.961174,-82.998795,0.8,"DUI-related collision, multiple vehicles.",Columbus,Franklin,OH,2016-02-08 13:05:00,Cloudy
