event_id,source,event_type,event_time,severity,state,city,latitude,longitude
transport_events-001,transport-events,transport_status,2026-05-29T12:00:00Z,6,Westminster,Westminster,51.5074,-0.1278
transport_events-002,transport-events,transport_status,2026-05-29T11:00:00Z,10,City of London,City of London,51.5155,-0.0922
transport_events-003,transport-events,transport_status,2026-05-29T10:00:00Z,10,Camden,Camden,51.5416,-0.143
transport_events-004,transport-events,transport_status,2026-05-29T09:00:00Z,10,Southwark,Southwark,51.4893,-0.0882
transport_events-005,transport-events,transport_status,2026-05-29T08:00:00Z,6,Wandsworth,Wandsworth,51.4653,-0.214
transport_events-006,transport-events,transport_status,2026-05-29T07:00:00Z,10,Islington,Islington,51.5465,-0.1058
transport_events-007,transport-events,transport_status,2026-05-29T06:00:00Z,10,Lewisham,Lewisham,51.4746,-0.0357
transport_events-008,transport-events,transport_status,2026-05-29T05:00:00Z,10,Merton,Merton,51.4014,-0.1958
transport_events-009,transport-events,transport_status,2026-05-29T04:00:00Z,6,Haringey,Haringey,51.5761,-0.1458
transport_events-010,transport-events,transport_status,2026-05-29T03:00:00Z,10,Barnet,Barnet,51.6029,-0.194
